instancia,alpha,tempMin,tempInicial,semilla,fo_inicial,fo_final,fines_semana_libres,iteraciones_sa
N30-8.txt,0.44,0.05,100000,2111,745,37,6,180000
N20-9.txt,0.44,0.05,100000,2111,139,17,11,180000
N10-10.txt,0.44,0.05,100000,2111,204,15,2,180000
N50-6.txt,0.44,0.05,100000,2111,299,106,35,180000
N40-6.txt,0.44,0.05,100000,2111,294,50,26,180000
N10-9.txt,0.44,0.05,100000,2111,200,9,2,180000
N50-7.txt,0.44,0.05,100000,2111,1287,51,11,180000
NPlus-1.txt,0.44,0.05,100000,2111,878,58,25,180000
N10-7.txt,0.44,0.05,100000,2111,158,12,6,180000
N40-4.txt,0.44,0.05,100000,2111,444,41,19,180000
NPlus-3.txt,0.44,0.05,100000,2111,1158,72,19,180000
NPlus-2.txt,0.44,0.05,100000,2111,1325,72,9,180000
N30-1.txt,0.44,0.05,100000,2111,205,35,20,180000
N10-6.txt,0.44,0.05,100000,2111,198,10,3,180000
N30-9.txt,0.44,0.05,100000,2111,746,57,6,180000
N20-3.txt,0.44,0.05,100000,2111,489,24,5,180000
N50-4.txt,0.44,0.05,100000,2111,1311,46,12,180000
N10-8.txt,0.78,0.05,100000,2112,71,12,9,590000
N50-5.txt,0.78,0.05,100000,2112,1312,47,13,590000
N40-5.txt,0.78,0.05,100000,2112,149,28,32,590000
N20-2.txt,0.78,0.05,100000,2112,492,20,3,590000
N30-2.txt,0.78,0.05,100000,2112,771,24,6,590000
N40-8.txt,0.78,0.05,100000,2112,1021,67,8,590000
N50-9.txt,0.78,0.05,100000,2112,1290,53,12,590000
N40-7.txt,0.78,0.05,100000,2112,194,47,33,590000
N50-8.txt,0.78,0.05,100000,2112,1288,49,12,590000
N20-10.txt,0.78,0.05,100000,2112,469,21,4,590000
N20-1.txt,0.78,0.05,100000,2112,366,18,6,590000
N30-10.txt,0.78,0.05,100000,2112,378,33,16,590000
N30-8.txt,0.78,0.05,100000,2112,745,37,7,590000
N20-9.txt,0.78,0.05,100000,2112,139,21,10,590000
N10-10.txt,0.78,0.05,100000,2112,204,8,2,590000
N50-6.txt,0.78,0.05,100000,2112,299,84,35,590000
N40-6.txt,0.78,0.05,100000,2112,294,60,23,590000
N10-9.txt,0.78,0.05,100000,2112,200,11,2,590000
N50-7.txt,0.78,0.05,100000,2112,1287,42,13,590000
NPlus-1.txt,0.78,0.05,100000,2112,878,46,26,590000
N10-7.txt,0.78,0.05,100000,2112,158,10,6,590000
N40-4.txt,0.78,0.05,100000,2112,444,32,21,590000
NPlus-3.txt,0.78,0.05,100000,2112,1158,47,20,590000
NPlus-2.txt,0.78,0.05,100000,2112,1325,66,13,590000
N30-1.txt,0.78,0.05,100000,2112,205,15,21,590000
N10-6.txt,0.78,0.05,100000,2112,198,9,2,590000
N30-9.txt,0.78,0.05,100000,2112,746,38,7,590000
